jurusanlama,nilai1,nilai2,tbsm,tkj,ipa,titl,ips,akt,rpl,tkro,mm,pem,dpib,meka,jurusan
6,0.8500000000000001,0.9821428571428568,0,0,0,0,0,1,0,0,0,0,0,0,3
4,0.8600000000000001,0.6785714285714284,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.8,0.6071428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.6200000000000001,0.3928571428571428,0,0,1,0,0,0,0,0,0,0,0,0,2
6,0.74,0.35714285714285676,0,0,0,0,0,1,0,0,0,0,0,0,3
6,0.5800000000000001,0.4285714285714284,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.8400000000000001,0.6428571428571428,0,0,1,0,0,0,0,0,0,0,0,0,1
5,0.6000000000000001,0.2857142857142856,0,0,0,1,0,0,0,0,0,0,0,0,1
3,0.6799999999999999,0.6785714285714284,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.74,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
4,0.8600000000000001,0.6785714285714284,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.19999999999999996,0.0,0,0,1,0,0,0,0,0,0,0,0,0,2
4,0.7,0.5357142857142856,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.5682,0.46964285714285703,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8,0.6071428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
6,0.5800000000000001,0.4285714285714284,0,0,0,0,0,1,0,0,0,0,0,0,3
4,0.72,0.5,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.6000000000000001,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0.56,0.5357142857142856,0,1,0,0,0,0,0,0,0,0,0,0,1
7,0.78,0.5714285714285712,0,0,0,0,0,0,1,0,0,0,0,0,2
